word|count|in title 1|% 1|in title 1 diff|in title 2|% 2|attribute type
4|2019|1211|59.98%|808|1806|89.45%|['Number in Package', 'Actual Product Depth (in.)', 'Chain/bar length (in.)', 'Number of Compartments', 'Minimum compatible pipe size (in.)', 'Bit Diameter', 'Product Weight (lb.)', 'Nominal product width (in.)', 'Ladder Height (ft.)', 'Number of Conductors', 'Number of Doors', 'Wheel Diameter (in.)', 'Base Width (in.)', 'Fastener Callout Size', 'Bullet06', 'Brush head height (in.)', 'Assembled Height (in.)', 'Nominal post width (in.)', 'Downspout Size (In.)', 'Compressor Tank Capacity (Gallons)', 'Fitter/Neck Size (In)', 'Assembled Depth (in.)', 'Spout height (in.)', 'Bullet10', 'Number of Poles', 'Actual post thickness (in.)', 'Number of Fresh Food Shelves', 'Periods per Programmable Day', 'Thickness (In.)', 'Capacity (qt.)', 'Exterior depth (in.)', 'Number of Gangs', 'Nominal picket thickness (in.)', 'Minimum length (ft.)', 'Assembled Length (in.)', 'MERV Rating (Minimum Efficiency Reporting Value)', 'Nominal gate height (ft.)', 'Base Height (in.)', 'Product Thickness (in.)', 'Approximate Size (WxL)', 'Backsplash Height (in.)', 'Lever grip length (in.)', 'Weight of head (lb.)', 'Nominal Product Length (in.)', 'Screw Length', 'Maximum Opening', 'Hole Saw Diameter', 'Actual Tree Height (ft.)', 'Number of Housings Included', 'Spout Reach (in.)', 'Blade width (in.)', 'Minimum Wire Capacity', 'Bullet07', 'Pipe diameter (in.)', 'Center to center measurement (in.)', 'Product Width (in.)', 'Nominal post thickness (in.)', 'Product Diameter (in.)', 'Shaft length (in.)', 'Cut-Out Diameter (in.)', 'Actual product thickness (in.)', 'Number of Shelves', 'Dry Time', 'Actual picket width (in.)', 'Radius (in.)', 'Maximum Wire Capacity', 'Product Depth (in.)', 'Nominal gate width (ft.)', 'Bullet04', 'Actual post width (in.)', 'Approximate Width (ft.)', 'Max Recommended Drain Size', 'Air Filter Depth (in.)', 'Cut-Out Left to Right Length (in.)', 'Actual inside diameter (in.)', 'Exact Width x Depth', 'Approximate Rug Size', 'Fitting Size', 'Load center depth (in.)', 'Bullet02', 'Number of Burners', 'Panel Type', 'Nominal panel height (ft.)', 'Bullet05', 'Brush head widths (in.)', 'Belt width', 'Bullet09', 'Bit Length (in.)', 'Number of doors accommodated', 'Bullet12', 'Bullet08', 'Size', 'Blade Length (In.)', 'Assembled Width (in.)', 'Height', 'Maximum Occupancy', 'Number of Pieces per Case', 'Package quantity', 'Nominal picket width (in.)', 'Number of Pieces', 'Quantity (oz.)', 'Belt Width (In.)', 'Product Length (in.)', 'Bullet16', 'Brush head width (in.)', 'Nap size (in.)', 'Product Length (ft.)', 'Collection Name', 'Handle Length (in.)', 'Maximum Pipe Diameter', 'Number of Tiles per Case', 'Maximum compatible pipe size (in.)', 'Maximum Spray Distance (ft.)', 'Nominal panel width (ft.)', 'Trade Size (in.)', 'Nominal Product Height (In.)', 'Faucet Hole Spacing (in.)', 'Door Thickness (in.)', 'Number of Drawers', 'Projection (in.)', 'Amperage (amps)', 'Drilling Depth (in)', 'Bullet01', 'Nominal Width', 'Sheet Width (ft.)', 'Throat Depth', 'Mosaic Sub Unit Length (in.)', 'Number of locks in pack', 'On-center measurement', 'Number of pieces included', 'Number of Bulbs Required', 'Product Thickness x Width x Length', 'Number of Lamps', 'Approximate Size (ft.)', 'Aperture width (in.)', 'Flush Valve Size (in.)', 'Bullet14', 'Package Quantity', 'Bullet11', 'Bullet03', 'Product Height (in.)', 'Fastener length (in.)', 'Number of Steps', 'Product Thickness (mm)', 'Base Length (in.)', 'Number in Pack', 'Tank Capacity (gallons)', 'Maximum duct length (in.)', 'Maximum number of heads', 'Bullet15', 'Number of boards', 'Housing depth (in.)', 'Vacuum Capacity (Gallons)', 'Piece Count', 'Cord Length (ft.)', 'Actual outside diameter (in.)', 'Product Width (ft.)', 'Seating Capacity', 'Nail Length (In.)', 'Width (ft) x Length (ft)', 'Nonslip tread', 'Maximum length (ft.)']
cabinets|828|27|3.26%|801|27|3.26%|['Bullet10', 'Bullet22', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'Bullet15', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet12', 'Bullet16', 'Bullet11', 'Bullet03', 'Bullet05', 'Storage Product Type', 'Bullet08']
tool|1174|419|35.69%|755|699|59.54%|['Electrical Tool Type', 'Tool Type', 'Bullet01', 'Project Type', 'Bullet13', 'Bullet09', 'Accessory Type', 'Bullet07', 'Corded Tool Type', 'Primary Use', 'Ceiling Accessory Type', 'Tools Product Type', 'Bullet12', 'Bullet20', 'Bullet08', 'Tool Storage Product Type', 'Flooring Product Type', 'Specialty Plumbing Tool Type', 'Included Accessories', 'Power Tool Accessory Type', 'Bullet06', 'Product Type', 'Tool Set Type', 'MFG Brand Name', 'Bullet18', 'Hand Tool Type', 'Bullet21', 'Bullet03', 'Bullet11', 'Cordless Tool Type', 'Bullet10', 'Accessory Compatibility', 'Power Tool Features', 'Garden Center Tool Type', 'Bullet04', 'Electrical Product Type', 'Power Tool Product Type', 'Bullet16', 'Storage Product Type', 'Tools Included', 'Bullet02', 'Accessory Change System', 'Truck Box Type', 'Vinyl Tool Type', 'Air Tool Type', 'Bullet05']
paint|2655|1914|72.09%|741|1964|73.97%|['Application Method', 'Bullet01', 'Paint Product Type', 'Bullet09', 'Thinner application', 'Bullet07', 'Pattern name', 'Bullet12', 'Bullet08', 'Material', 'Bullet06', 'Siding Features', 'Fits brand/model', 'MFG Brand Name', 'Bullet18', 'Interior/Exterior Paint', 'Bullet11', 'Bullet03', 'Interior Paint & Stains Product Type', 'Materials removed', 'Bullet10', 'Paint/Stain Clean Up', 'Bullet15', 'Bullet04', 'Kit contents', 'Bullet16', 'Bullet02', 'Paint/Stain/Waterproofer Product Type', 'Coating Product Category', 'Bullet05', 'Color/Finish']
pipe|1485|756|50.91%|729|772|51.99%|['Plumbing brush category', 'Pipe Hangers & Supports Type', 'Bullet01', 'Bullet09', 'Accessory Type', 'Primary application', 'Bullet07', 'Maintenance, Repair & Supplies Product Type', 'Bullet12', 'Bullet08', 'Strut fitting type', 'Bullet06', 'MFG Brand Name', 'Type', 'Bullet14', 'Connection', 'Hand Tool Type', 'Bullet11', 'Bullet03', 'Bullet10', 'Bullet15', 'Bullet04', 'Tool Stand Type', 'Pipe or Fitting Product Type', 'Clamp Type', 'Gas Vent Pipe and Fittings Accessory Type', 'Bullet02', 'Irrigation System Component', 'Accessory type', 'Application', 'Wrench type', 'Bullet05', 'Roofing Product Type']
5|976|279|28.59%|697|827|84.73%|['Number of Drawers', 'Number in Package', 'Bullet01', 'Nominal Width', 'Bullet09', 'Gutter Size', 'Product Weight (lb.)', 'Bullet07', 'Maximum Amperage (amps)', 'Minimum compatible pipe size (in.)', 'Nominal product width (in.)', 'Product Width (in.)', 'Bullet08', 'Product Diameter (in.)', 'Size', 'Assembled Width (in.)', 'Blade Length (In.)', 'Fastener Callout Size', 'Set Time (Min.)', 'Number of pieces included', 'Number of Tools Included', 'Number of Bulbs Required', 'Size (in.)', 'Bullet06', 'Cut-Out Diameter (in.)', 'Number of balusters included', 'Assembled Height (in.)', 'Number of Pieces', 'Minimum Frequency (MHz)', 'Container Size', 'Aperture width (in.)', 'Shade Diameter (in.)', 'Bullet14', 'Package Quantity', 'Bullet11', 'Fastener length (in.)', 'Product Height (in.)', 'Bullet03', 'Assembled Depth (in.)', 'Number of Steps', 'Individual product length (in.)', 'Product Depth (in.)', 'Pull Length (in.)', 'Product Thickness (mm)', 'Number of Tiers', 'Insulation R-Value', 'Maximum number of heads', 'Actual post thickness (in.)', 'Number of Sheets', 'Inside Diameter', 'Number of boards', 'Bullet04', 'Vacuum Capacity (Gallons)', 'Product Length (in.)', 'Number of Gangs', 'Actual post width (in.)', 'Approximate Length (ft.)', 'Peak Horsepower', 'Product Length (ft.)', 'Nominal gate height (ft.)', 'Bullet02', 'Number of Lights/Bulbs', 'Center to Center Measurement (inches)', 'Panel Type', 'Number of Burners', 'Maximum compatible pipe size (in.)', 'Handle Length (in.)', 'Cord Length (ft.)', 'Container Size (gallons)', 'Bullet05', 'Screw Length']
a|700|29|4.14%|671|686|98.00%|['Bullet10', 'Application Method', 'Bullet06', 'Scent', 'Bullet02', 'Bullet01', 'Bullet13', 'Bullet09', 'Bullet15', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet12', 'Bullet14', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05']
1/4|1120|451|40.27%|669|968|86.43%|['Min Chuck Size Required', 'Bullet01', 'Bullet13', 'Fastener callout size of screw', 'Bit Diameter', 'Bullet07', 'Outside Width (in.)', 'Product Thickness', 'Bullet08', 'Size', 'Assembled Width (in.)', 'Glass Type', 'Fastener Callout Size', 'Bullet06', 'Assembled Height (in.)', 'Product Thickness x Width x Length', 'Bullet14', 'Bullet03', 'Diameter(inches)', 'Outlet Size', 'Inside Diameter', 'Bullet04', 'Rope Diameter (in.)', 'Shank Diameter (in.)', 'Fitting sizes included (in.)', 'Fitting Size', 'Washer Size', 'Shank Diameter', 'Bullet02', 'Product Thickness (in.)', 'Cut Diameter', 'Nail Length (In.)', 'Bullet05']
bulbs|701|34|4.85%|667|36|5.14%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Flashlight type', 'Bullet09', 'Bullet07', 'Bullet04', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05', 'Exterior Lighting Accessory Type', 'Bulb Type Included']
metal|1621|959|59.16%|662|1040|64.16%|['Letter Material', 'Wall Decor Product Type', 'Bullet01', 'Bullet13', 'Paint Product Type', 'Bullet09', 'Bullet07', 'Fencing Product Type', 'Primary Use', 'Bullet12', 'Wood Species or Material', 'Material', 'Bullet08', 'Nail Type', 'Flooring Product Type', 'Metal Stock Type', 'Fastener/Connector Material', 'Bullet06', 'Bucket/Tub Material', 'Handle Material', 'Tile Material', 'MFG Brand Name', 'Material Cut', 'Fixture Color/Finish', 'Core Material', 'Surface Recommended', 'Substrate/Surface Use Type', 'Type', 'Bullet14', 'Bullet11', 'Bullet03', 'Compatible Roof Type(s)', 'Roof Construction', 'Handle Type', 'Fixture\\track material', 'HID Type', 'Bullet10', 'Wall Plate Material', 'Fastener Type', 'Bullet04', 'Style Type', 'Accessory/Part Type', 'Profile', 'Collection Name', 'Finish', 'Bullet02', 'Color', 'Body Material', 'Fixture Material', 'Bin Material', 'Light Source', 'Bullet05', 'Color/Finish', 'Frame Material', 'Roofing Product Type', 'Brand/Model Compatibility']
cabinet|2102|1455|69.22%|647|1502|71.46%|['Bullet01', 'Bullet13', 'Bullet09', 'Bullet07', 'Primary Use', 'Wine Storage Type', 'Bullet12', 'Bullet08', 'Mounting Type', 'Bullet06', 'Product Type', 'Bullet14', 'Bullet11', 'Bullet03', 'Builders Hardware Product Type', 'Bullet10', 'Bullet15', 'Installation Method', 'Bullet04', 'Cabinet Type', 'Vanity Included Components', 'Bullet16', 'Accessory or kit type', 'Storage Product Type', 'Collection Name', 'Bullet02', 'Paint/Stain/Waterproofer Product Type', 'Color/Finish', 'Bullet05']
12|1449|806|55.62%|643|1200|82.82%|['Carpet Width (ft.)', 'Number in Package', 'Product Weight (lb.)', 'Chain size', 'Nominal product width (in.)', 'Inner Bowl Front to Back Width (in.)', 'Ladder Height (ft.)', 'Pattern Number', 'Wheel Diameter (in.)', 'Fastener Callout Size', 'Square Feet per Box (sq.ft.)', 'Bullet06', '90 Degree Crosscut Capacity Maximum - Left', 'Assembled Height (in.)', 'Tarp Width (ft.) x Tarp Length (ft.)', 'Number of Rolls', 'Assembled Depth (in.)', 'Container Height (in.)', 'Inside Duct Length (in.)', 'Approximate Length (ft.)', 'Number of Lights/Bulbs', 'Approximate Size (WxL)', 'Nominal Product Length (in.)', 'Number of Teeth', 'Screw Length', 'Maximum tree height (ft.)', 'Minimum Product Length (in.)', 'Maximum cutting path diameter (in.)', 'Actual Tree Height (ft.)', 'Minimum Wire Capacity', 'Bullet07', 'Width', 'Product Width (in.)', 'Product Diameter (in.)', 'Voltage Output (volts)', 'Capacity (gallons)', 'Pattern Match Width (in.)', 'Bar Length (in.)', 'Inflated height (ft.)', 'Frame Gauge', 'Bullet18', 'Step rise (in.)', 'Maximum Wire Capacity', '90 Degree Crosscut Capacity Maximum - Right', 'Product Depth (in.)', 'Maximum pole length (ft.)', 'Bullet04', 'Mosaic Sub Unit Width (in.)', 'Inner Bowl Left to Right Length (in.)', 'Approximate Width (ft.)', 'Maximum ceiling height (ft.)', 'Cut-Out Left to Right Length (in.)', 'Exact Width x Depth', 'Battery Type Required', 'Approximate Rug Size', 'Actual Product Width (in.)', 'Saw Blade Diameter (in)', 'Maximum reach (ft.)', 'Bullet02', 'Conductor Gauge', 'Nominal Product Length (ft.)', 'Bullet05', 'Bullet09', 'Table Length (in.)', 'Bit Length (in.)', 'Width x Height x Depth', 'Bullet12', 'Bullet08', 'Size', 'Blade Length (In.)', 'Assembled Width (in.)', 'Glass Type', 'Number of Pieces per Case', 'Battery capacity (mAh)', 'Number of Pieces', 'Shade Diameter (in.)', 'Number of Spaces', 'Bar length (in.)', 'Air Filter Size', 'Pack Size', 'Minimum Cabinet Opening (in.)', 'Maximum duct width (in.)', 'Maximum Duct Width', 'Product Length (in.)', 'Maximum Duct Length', 'Product Length (ft.)', 'Handle Length (in.)', 'Number of Tiles per Case', 'Width of cleaning path (in.)', 'Amperage (amps)', 'Bullet01', 'Nominal Width', 'Bullet13', 'Sheet Width (ft.)', 'Mosaic Sub Unit Length (in.)', 'Drop cloth length (ft.)', 'Number of Bulbs Required', 'Air Filter Width (in.)', 'Blade size (in.)', 'Approximate Depth (ft.)', 'Approximate Size (ft.)', 'Inside Duct Length x Inside Duct Width', 'Bullet14', 'Package Quantity', 'Bullet11', 'Bullet03', 'Product Height (in.)', 'Area Covered per Piece (sq. ft.)', 'Fastener length (in.)', 'Product Thickness (mm)', 'Handle Length', 'Table Width (in.)', 'Maximum duct length (in.)', 'Gauge', 'Bullet15', 'Voltage (volts)', 'Cable length (ft.)', 'Actual product width (in.)', 'Cover Dimensions', 'Blade Diameter', 'Fits Brand/Models', 'Fan diameter (in.)', 'Cord Length (ft.)', 'Average long gun capacity', 'Shutter Width (in.)', 'Maximum cut diameter (in.)', 'Width (ft) x Length (ft)']
6|1501|859|57.23%|642|1318|87.81%|['Carpet Width (ft.)', 'Number in Package', 'Number of Compartments', 'Drop cloth width (ft.)', 'Product Weight (lb.)', 'Nominal product width (in.)', 'Ladder Height (ft.)', 'Wheel Diameter (in.)', 'Maximum ladder length (ft.)', 'Fastener Callout Size', 'Gate thickness (in.)', 'Bullet06', 'Assembled Height (in.)', 'Minimum ladder length (ft.)', 'Nominal post width (in.)', 'Compressor Tank Capacity (Gallons)', 'Assembled Depth (in.)', 'Bullet10', 'Insulation R-Value', 'Actual post thickness (in.)', 'Number of Gangs', 'Number of Outlets', 'Element No.3 Size (In.)', 'Capacity (cu. Ft.) - Total', 'Assembled Length (in.)', 'Minimum product diameter (in.)', 'Nominal gate height (ft.)', 'Disc table length (in.)', 'Approximate Size (WxL)', 'Screw Length', 'Element No.5 Size (In.)', 'Color/Finish', 'Actual Tree Height (ft.)', 'Number of Housings Included', 'Number of Jets', 'Nominal picket height (ft.)', 'Bullet07', 'Width', 'Pipe diameter (in.)', 'Product Width (in.)', 'Shoe Size', 'Product Diameter (in.)', 'Nominal post thickness (in.)', 'Wood pieces included', 'Capacity (gallons)', 'Size (in.)', 'Cut-Out Diameter (in.)', 'Tape Length (ft.)', 'Actual picket width (in.)', 'Product Depth (in.)', 'Nominal gate width (ft.)', 'Bullet04', 'Mosaic Sub Unit Width (in.)', 'Actual post width (in.)', 'Max Recommended Drain Size', 'Actual inside diameter (in.)', 'Approximate Rug Size', 'Fitting Size', 'Bullet02', 'Panel Type', 'Conductor Gauge', 'Nominal Product Length (ft.)', 'Nominal panel height (ft.)', 'Number of One-Touch Settings', 'Number of Zones', 'Bullet05', 'Wattage (watts)', 'Bullet09', 'Gutter Size', 'Bit Length (in.)', 'Width x Height x Depth', 'Bullet12', 'Bullet08', 'Size', 'Blade Length (In.)', 'Assembled Width (in.)', 'Glass Type', 'Number of Pieces per Case', 'Maximum Occupancy', 'Thickness (mm)', 'Nominal picket width (in.)', 'Number of Pieces', 'Number of Spaces', 'Maximum Duct Width', 'Product Length (in.)', 'Maximum product diameter (in.)', 'Container Size (oz.)', 'Product Length (ft.)', 'Nominal panel width (ft.)', 'Number/Letter Height (in.)', 'Coverage Area (sq. ft.)', 'Nominal Product Height (In.)', 'Drilling Depth (in)', 'Number of Drawers', 'Showerhead face diameter (in.)', 'Bullet01', 'Nominal Width', 'Bullet13', 'Sheet Width (ft.)', 'Kitchen Sink Top to Bottom Depth (in.)', 'Number of Bulbs Required', 'Number of jet settings', 'Approximate Depth (ft.)', 'Aperture width (in.)', 'Bullet14', 'Package Quantity', 'Bullet11', 'Bullet03', 'Product Height (in.)', 'Fastener length (in.)', 'Number of Steps', 'Product Thickness (mm)', 'Tank Capacity (gallons)', 'Maximum duct length (in.)', 'Maximum number of heads', 'Voltage (volts)', 'Actual product width (in.)', 'Bowl Below Counter Height (in.)', 'Cord Length (ft.)', 'Element No.4 Size (In.)', 'Cut-Out Below Counter Depth (in.)', 'Nonslip tread']
parts|695|56|8.06%|639|58|8.35%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet13', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet12', 'Bullet14', 'Garage Door Part/Accessory Type', 'Bullet03', 'Bullet05', 'Tool Storage Product Type']
rugs|701|69|9.84%|632|69|9.84%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet03', 'Bullet05']
exterior|892|262|29.37%|630|271|30.38%|['Bullet10', 'Bullet06', 'Window Treatment Product Type', 'Bullet01', 'Bullet02', 'Bullet13', 'Paint Product Type', 'Bullet09', 'Bullet07', 'Interior/Exterior', 'Primary Use', 'Bullet04', 'Bullet12', 'Insulation Application Type', 'Interior/Exterior Paint', 'Bullet08', 'Bullet11', 'Door Type', 'Bullet05', 'Color/Finish', 'Bullet03']
shower|2997|2371|79.11%|626|2619|87.39%|['Bullet01', 'Bullet13', 'Bullet09', 'Accessory Type', 'Primary application', 'Bullet07', 'Bullet12', 'Bullet08', 'Bullet17', 'Bath Faucet Type', 'Bullet06', 'Product Type', 'MFG Brand Name', 'Water filter system type', 'Water Filtration System Type', 'Bullet18', 'Bullet14', 'Type', 'Bullet11', 'Bullet03', 'Tub/Shower', 'Faucet Included Components', 'Bullet10', 'Bullet15', 'Spout Type', 'Bullet04', 'Shower System Product Type', 'Bullet16', 'Application Type', 'Bullet02', 'Bath Accessory Type', 'Package Contents', 'Trim Type', 'Plumbing Part Type', 'Bullet05', 'Brand/Model Compatibility']
panels|646|42|6.50%|604|43|6.66%|['Stone Product Type', 'Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Fencing Product Type', 'Maintenance, Repair & Supplies Product Type', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05', 'Plywood Type', 'Storage Product Type', 'Profile']
covers|633|37|5.85%|596|40|6.32%|['Bullet10', 'Bullet06', 'Christmas Outdoor Decor Product Type', 'Bullet01', 'Bullet02', 'Bullet09', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Hot Tub Accessory Type', 'Bullet12', 'Bullet03', 'Bullet05', 'Roller Product Type']
kits|589|3|0.51%|586|3|0.51%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'Bullet04', 'Electrical Product Type', 'Bullet03', 'Bullet05', 'Storage Product Type']
water|1801|1226|68.07%|575|1338|74.29%|['Bullet01', 'Bullet13', 'Bullet09', 'Recommended function', 'Fits brands/models', 'Accessory Type', 'Bullet07', 'Valve Use', 'Primary Use', 'Bullet12', 'Bullet08', 'Material', 'Bullet17', 'Bullet06', 'Product Type', 'Detects/ Tests For', 'Rating', 'MFG Brand Name', 'Water filter system type', 'Water Filtration System Type', 'Bullet18', 'Bullet14', 'Bullet11', 'Bullet03', 'Paint/Stain Base Material', 'Cleanup', 'Bullet10', 'Refrigeration Dispenser Features', 'Brand compatibility', 'Water Compatibility', 'Paint/Stain Clean Up', 'Bullet15', 'Bullet04', 'Glass/Lens Type', 'Kitchen Faucet Type', 'Bullet16', 'Faucet Features', 'Collection Name', 'Bullet02', 'Faucet type', 'Bullet05', 'Brand/Model Compatibility']
kit|2134|1561|73.15%|573|1637|76.71%|['Compressor/Air Tool Features', 'Bullet01', 'Included', 'Bullet09', 'Accessory Type', 'Landscape Supply Type', 'Bullet07', 'Maintenance, Repair & Supplies Product Type', 'Fencing Product Type', 'Primary Use', 'Tools Product Type', 'Bullet12', 'Bullet08', 'Bullet06', 'Product Type', 'Bath Faucet Type', 'Sell Pack Options', 'Grill Part Type', 'Bullet14', 'Bullet11', 'Bullet03', 'Cordless Tool Type', 'Bullet10', 'Builders Hardware Product Type', 'Seed Type', 'Part/accessory type', 'Safety & Security Product Type', 'Toilet Features', 'Wall Plate Accessory Type', 'Bullet15', 'Bullet04', 'Fastener Type', 'Drapery Hardware Product Type', 'Electrical Product Type', 'Included Items', 'Drip & Micro Irrigation Component', 'Accessory/Part Type', 'Tools Included', 'Collection Name', 'Bullet02', 'Package Contents', 'Bath Accessory Type', 'Color', 'Part Type', 'Irrigation System Component', 'Stair Part Type', 'Accessory type', 'Plumbing Part Type', 'Bullet05', 'Air Tool Type', 'Holiday Decor Product Type', 'Brand/Model Compatibility', 'Features']
